CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryMin,MonetaryMax,MonthlyPurchaseAmount,TopCategory,TopCategorySpend,BottomCategory,Country,TotalQuantity,PurchaseFrequencyPerMonth,CustomerAge,LifetimeValue,LifetimeFrequency,IsLoyal,IsFrequentBuyer,TopCategory_Encoded,BottomCategory_Encoded,Country_Encoded,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,FinalCluster
12347,2,3,2104.05,26.300625000000004,8.4,106.2,350.675,Electronics,867.24,Accessories,Iceland,2458,0.5,365,4310.0,7,0,0,2,0,14,0,0,-1,0
12348,75,1,310.0,103.33333333333333,40.0,150.0,51.666666666666664,Other,784.92,Home Decor,Finland,2341,0.16666666666666666,282,1797.24,4,0,0,6,6,10,0,0,-1,0
12349,19,1,1757.55,24.076027397260273,6.64,300.0,292.925,Kitchen,651.95,Furniture,Italy,631,0.16666666666666666,0,1757.55,1,0,0,5,4,16,0,0,0,0
12352,36,3,944.23,20.09,9.9,80.0,157.37166666666667,Other,965.68,Textiles,Norway,536,0.5,260,2506.04,8,0,0,6,12,20,0,0,0,0
12356,23,1,58.349999999999994,29.174999999999997,25.5,32.849999999999994,9.725,Kitchen,1560.3899999999999,Textiles,Portugal,1591,0.16666666666666666,302,2811.43,3,0,0,5,12,22,0,0,-1,0
12357,33,1,6207.67,47.38679389312977,10.08,237.60000000000002,1034.6116666666667,Kitchen,2542.98,Seasonal,Switzerland,2708,0.16666666666666666,0,6207.67,1,0,0,5,9,27,1,0,-1,1
12358,2,2,1168.06,61.47684210526315,9.36,160.0,194.67666666666665,Other,785.4000000000001,Storage,Austria,248,0.3333333333333333,149,1168.06,2,0,0,6,11,1,0,0,0,0
12359,58,1,2814.3,27.591176470588238,10.08,290.0,469.05,Kitchen,1370.68,Garden & Outdoor,Cyprus,1609,0.16666666666666666,274,6310.03,4,0,0,5,5,5,0,0,-1,0
12360,52,2,1578.48,18.791428571428572,5.04,120.0,263.08,Toys,492.1,Furniture,Austria,1165,0.3333333333333333,148,2662.06,3,0,0,11,4,1,0,0,0,0
12362,3,8,4251.89,20.24709523809524,2.88,60.0,708.6483333333334,Kitchen,941.1,Textiles,Belgium,2229,1.3333333333333333,292,5226.23,10,0,1,5,12,2,1,1,-1,1
